model,rho_mean_standard,rho_mean_beam,sat_standard,sat_beam,n_standard,n_beam,wall_clock_total_s,weight_GB,activation_GB,peak_GB,sat_frac_standard
qwen3-0.6b,-87.36894598603249,13.961243160418235,0,12,12,12,368.4599554538727,1.1,2.33373696,3.43373696,0.0
qwen3-0.6b-4bit,-77.86638163526852,13.961243160418235,1,12,12,12,285.3564088344574,0.335,2.33373696,2.66873696,0.08333333333333333
qwen3-0.6b-8bit,-87.36894598603249,13.961243160418235,0,12,12,12,365.7610614299774,0.619,2.33373696,2.95273696,0.0
qwen3-1.7b,-59.32169425487518,13.961243160418235,3,12,12,12,334.95853900909424,3.2,2.33373696,5.533736960000001,0.25
qwen3-1.7b-4bit,-59.34697771072388,13.961243160418235,3,12,12,12,370.45228242874146,0.938,2.33373696,3.27173696,0.25
